Id_commune;Nom_commune;Code_departement;Code_commune;Id_region
1843;LESTELLE BETHARRAM;64;339;75
1827;LONS;64;348;75
1857;MAULEON LICHARRE;64;371;75
1837;MAZEROLLES;64;374;75
1830;MIOSSENS LANUSSE;64;385;75
1841;MORLAAS;64;405;75
1847;MOUMOUR;64;409;75
1834;MOURENX;64;410;75
1833;NAVARRENX;64;416;75
1849;NAY;64;417;75
1844;OLORON SAINTE MARIE;64;422;75
1838;ORTHEZ;64;430;75
1845;REBENACQ;64;463;75
1840;RONTIGNON;64;467;75
1856;SAINT-JEAN-DE-LUZ;64;483;75
1864;SAINT-PALAIS;64;493;75
1836;SAUVAGNON;64;511;75
1829;SERRES CASTET;64;519;75
1850;SEVIGNACQ MEYRACQ;64;522;75
1863;UHART-CIZE;64;538;75
1855;USTARITZ;64;547;75
1825;PAU;64;445;75
10;AMBERIEU-EN-BUGEY;1;4;84
39;ARBENT;1;14;84
50;BEAUREGARD;1;30;84
17;BELLEY;1;34;84
26;BELLIGNAT;1;31;84
21;BRENOD;1;60;84
11;CESSY;1;71;84
35;CHAMPAGNE-EN-VALROMEY;1;79;84
1;CHEVRY;1;103;84
34;COLLONGES;1;109;84
44;CROZET;1;135;84
5;CULOZ;1;138;84
51;DAGNEUX;1;142;84
2;DIVONNE-LES-BAINS;1;143;84
19;DORTAN;1;148;84
31;ECHENEVEX;1;153;84
43;FARGES;1;158;84
13;FERNEY-VOLTAIRE;1;160;84
9;GEX;1;173;84
38;HAUT-VALROMEY;1;187;84
30;IZERNORE;1;192;84
49;JASSANS-RIOTTIER;1;194;84
36;JUJURIEUX;1;199;84
15;LAGNIEU;1;202;84
16;LE POIZAT-LALLEYRIAT;1;204;84
28;LELEX;1;210;84
40;LOYETTES;1;224;84
37;MATAFELON-GRANGES;1;240;84
46;MEXIMIEUX;1;244;84
41;MIJOUX;1;247;84
52;MIONNAY;1;248;84
47;MONTCEAUX;1;258;84
48;MONTLUEL;1;262;84
23;NANTUA;1;269;84
18;ORNEX;1;281;84
7;OYONNAX;1;283;84
3;PERON;1;288;84
27;PLATEAU D'HAUTEVILLE;1;185;84
20;PREVESSIN-MOENS;1;313;84
24;SAINT-DENIS-EN-BUGEY;1;345;84
0;SAINT-ETIENNE-DU-BOIS;1;350;84
22;SAINT-JEAN-LE-VIEUX;1;363;84
33;SAINT-VULBAS;1;390;84
12;SAULT-BRENAZ;1;396;84
14;SEGNY;1;399;84
42;SERGY;1;401;84
6;ST-GENIS-POUILLY;1;354;84
8;ST-GERMAIN-DE-JOUX;1;357;84
4;VALSERHONE;1;33;84
32;VERSONNEX;1;435;84
29;VESANCY;1;436;84
45;VILLARS-LES-DOMBES;1;443;84
53;VILLIEU-LOYES-MOLLON;1;450;84
2786;BUSSANG;88;81;44
2757;CAPAVENIR VOSGES;88;465;44
2759;CHANTRAINE;88;87;44
2765;CHENIMENIL;88;101;44
2762;CONTREXEVILLE;88;114;44
2795;CORNIMONT;88;116;44
2758;DAMAS-ET-BETTEGNEY;88;122;44
2755;DARNIEULLES;88;126;44
2760;DEYVILLERS;88;132;44
2753;EPINAL;88;160;44
2773;FRAIZE;88;181;44
2777;GERARDMER;88;196;44
2783;GERBEPAL;88;198;44
2768;GIRANCOURT;88;201;44
2752;GOLBEY;88;209;44
2754;HADOL;88;225;44
2772;JEUXEY;88;253;44
2787;LA BRESSE;88;75;44
2784;LA FORGE;88;177;44
2770;LAVELINE-DEVANT-BRUYERES;88;262;44
2792;LE THILLOT;88;468;44
2767;LES FORGES;88;178;44
2769;LIFFOL-LE-GRAND;88;270;44
2761;LONGCHAMP;88;273;44
2763;MIRECOURT;88;304;44
2782;MOYENMOUTIER;88;319;44
2764;NEUFCHATEAU;88;321;44
2778;PAIR-ET-GRANDRUPT;88;341;44
2766;PIERREFITTE;88;347;44
2774;PLAINFAING;88;349;44
2797;POUXEUX;88;358;44
2771;RAMBERVILLERS;88;367;44
2789;RAMONCHAMP;88;369;44
2775;RAON L ETAPE;88;372;44
2788;REMIREMONT;88;383;44
2790;RUPT-SUR-MOSELLE;88;408;44
2779;SAINT DIE DES VOSGES;88;413;44
2791;SAINT-NABORD;88;429;44
2780;SAINTE-MARGUERITE;88;424;44
2794;SAPOIS;88;442;44
2781;SAULCY-SUR-MEURTHE;88;445;44
2796;ST-ETIENNE-LES-REMIREMONT;88;415;44
2793;VAGNEY;88;486;44
2785;VENTRON;88;500;44
2756;VITTEL;88;516;44
2776;XONRUPT-LONGEMER;88;531;44
284;BAR SUR AUBE;10;33;44
288;COLOMBE LA FOSSE;10;102;44
289;DIENVILLE;10;123;44
283;LA CHAPELLE ST LUC;10;81;44
287;LES NOES PRES TROYES;10;265;44
286;NOGENT SUR SEINE;10;268;44
285;PONTSAINTE MARIE;10;297;44
278;ROMILLY SUR SEINE;10;323;44
277;ROSIERES PRES TROYES;10;325;44
280;SAINT ANDRE LES VERGERS;10;333;44
279;SAINT JULIEN LES VILLAS;10;343;44
276;SAINTE SAVINE;10;362;44
282;TRAINEL;10;382;44
281;TROYES;10;387;44
2675;APT;84;3;93
2670;AUBIGNAN;84;4;93
2695;BARROUX (LE);84;8;93
2698;BEAUMES-DE-VENISE;84;12;93
2666;BEDARRIDES;84;16;93
2661;BEDOIN;84;17;93
2690;BOLLENE;84;19;93
2672;CAROMB;84;30;93
2657;CARPENTRAS;84;31;93
2679;CAVAILLON;84;35;93
2685;CHATEAUNEUF-DE-GADAGNE;84;36;93
2699;CHATEAUNEUF-DU-PAPE;84;37;93
2669;COURTHEZON;84;39;93
2671;ENTRAIGUES-SUR-LA-SORGUE;84;43;93
2691;JONQUIERES;84;56;93
2676;L ISLE SUR LA SORGUE;84;54;93
2686;LA BASTIDE DES JOURDANS;84;9;93
2681;LA TOUR D AIGUES;84;133;93
2678;LAURIS;84;65;93
2663;LE PONTET;84;92;93
2680;LE THOR;84;132;93
2697;MALAUCENE;84;69;93
2673;MALEMORT-DU-COMTAT;84;70;93
2687;MERINDOL;84;74;93
2659;MONTEUX;84;80;93
2664;MORIERES LES AVIGNON;84;81;93
2696;MORNAS;84;83;93
2688;ORANGE;84;87;93
2665;PERNES LES FONTAINES;84;88;93
2677;PERTUIS;84;89;93
2684;SAINT-SATURNIN LES APT;84;118;93
2689;SAINTE-CECILE-LES-VIGNES;84;106;93
2667;SARRIANS;84;122;93
2682;SAUMANE-DE-VAUCLUSE;84;124;93
2700;SERIGNAN-DU-COMTAT;84;127;93
2662;SORGUES;84;129;93
2692;VACQUEYRAS;84;136;93
2693;VAISON-LA-ROMAINE;84;137;93
2668;VEDENE;84;141;93
2683;VIENS;84;144;93
2674;VILLELAURE;84;147;93
2694;VISAN;84;150;93
83;ALLOS;4;6;93
90;BARCELONNETTE;4;19;93
109;BARREME;4;22;93
84;CASTELLANE;4;39;93
80;CHATEAU-ARNOUX-SAINT-AUBAN;4;49;93
108;DEMANDOLX;4;69;93
81;DIGNE-LES-BAINS;4;70;93
79;ENCHASTRAYES;4;73;93
89;FAUCON-DE-BARCELONNETTE;4;86;93
95;FORCALQUIER;4;88;93
91;GREOUX-LES-BAINS;4;94;93
85;JAUSIERS;4;96;93
102;L ESCALE;4;79;93
86;LE LAUZET UBAYE;4;102;93
97;MANOSQUE;4;112;93
82;MONTCLAR;4;126;93
99;NOYERS-SUR-JABRON;4;139;93
101;ORAISON;4;143;93
93;PEIPIN;4;145;93
100;PIERRERUE;4;151;93
78;RIEZ;4;166;93
107;SAINT-ETIENNE-LES-ORGUES;4;178;93
92;SAINT-MARTIN-DE-BROMES;4;189;93
88;SAINTE CROIX DU VERDON;4;176;93
106;SAINTE-TULLE;4;197;93
96;SELONNET;4;203;93
87;SEYNE;4;205;93
77;SISTERON;4;209;93
98;UVERNET-FOURS;4;226;93
104;VALENSOLE;4;230;93
103;VILLENEUVE;4;242;93
105;VOLONNE;4;244;93
94;VOLX;4;245;93
1049;AMBOISE;37;3;24
1047;BALLAN MIRE;37;18;24
1051;BOURGUEIL;37;31;24
1048;CHAMBRAY LES TOURS;37;50;24
1053;DESCARTES;37;115;24
1042;FONDETTES;37;109;24
1034;JOUE LES TOURS;37;122;24
1046;LA MEMBROLLE-SUR-CHOISILLE;37;151;24
1036;LA RICHE;37;195;24
1052;LOCHES;37;132;24
1038;MONTLOUIS-SUR-LOIRE;37;156;24
1044;NOTRE-DAME-D OE;37;172;24
1050;RICHELIEU;37;196;24
1045;ROCHECORBON;37;203;24
1041;SAINT AVERTIN;37;208;24
1043;SAINT CYR SUR LOIRE;37;214;24
1039;SAINT-PIERRE-DES-CORPS;37;233;24
1035;TOURS;37;261;24
1777;ACHICOURT;62;4;32
1811;AIRE-SUR-LA-LYS;62;14;32
1792;AIX NOULETTE;62;19;32
1780;ANZIN-SAINT-AUBIN;62;37;32
1815;ARQUES;62;40;32
1776;ARRAS;62;41;32
1782;AVION;62;65;32
1781;BEAURAINS;62;99;32
1807;BERCK;62;108;32
1787;BETHUNE;62;119;32
1790;BEUVRY;62;126;32
1786;BIACHE-SAINT-VAAST;62;128;32
1812;BLENDECQUES;62;139;32
1805;BOULOGNE SUR MER;62;160;32
1803;CALAIS;62;193;32
1794;CARVIN;62;215;32
1809;CUCQ;62;261;32
1788;DIVION;62;270;32
1779;ELEU-DIT-LEAUWETTE;62;291;32
1793;HARNES;62;413;32
1799;HENIN-BEAUMONT;62;427;32
1789;HESDIGNEUL-LES-BETHUNE;62;445;32
1791;ISBERGUES;62;473;32
1808;LE TOUQUET PARIS PLAGE;62;826;32
1797;LENS;62;498;32
1814;LONGUENESSE;62;525;32
